iter	Passed	Remaining
0	3	1070
1	6	1024
2	10	1000
3	13	971
4	15	930
5	19	934
6	22	949
7	25	947
8	28	925
9	32	940
10	35	933
11	38	918
12	41	914
13	44	902
14	47	893
15	50	895
16	53	895
17	56	882
18	58	869
19	61	856
20	63	849
21	66	839
22	69	831
23	71	821
24	73	812
25	76	802
26	78	797
27	81	789
28	83	784
29	86	777
30	88	770
31	91	764
32	93	759
33	96	754
34	99	750
35	101	745
36	104	739
37	106	735
38	109	733
39	112	728
40	114	723
41	117	719
42	119	715
43	122	711
44	124	707
45	127	703
46	130	700
47	132	696
48	135	691
49	137	688
50	140	684
51	142	680
52	145	677
53	147	673
54	150	670
55	152	666
56	155	663
57	158	659
58	160	656
59	163	652
60	165	649
61	168	646
62	170	642
63	173	639
64	176	637
65	178	633
66	181	630
67	183	627
68	186	623
69	188	620
70	191	617
71	194	614
72	196	611
73	199	608
74	201	605
75	204	601
76	206	598
77	209	595
78	211	591
79	213	588
80	216	584
81	218	581
82	221	578
83	224	577
84	227	576
85	230	574
86	233	570
87	235	567
88	237	564
89	240	561
90	242	557
91	245	555
92	247	551
93	250	548
94	252	545
95	255	542
96	257	539
97	260	536
98	262	533
99	265	530
100	267	527
101	270	524
102	272	521
103	274	518
104	277	515
105	279	512
106	282	509
107	284	506
108	287	503
109	289	500
110	292	497
111	294	494
112	296	491
113	299	488
114	301	485
115	304	482
116	306	479
117	309	476
118	311	473
119	314	471
120	316	468
121	318	465
122	321	462
123	323	459
124	326	456
125	328	453
126	331	451
127	333	448
128	336	445
129	338	442
130	341	439
131	343	437
132	346	434
133	348	431
134	350	428
135	353	426
136	355	423
137	358	420
138	360	417
139	363	414
140	365	412
141	367	409
142	370	406
143	372	403
144	375	401
145	377	398
146	380	395
147	382	392
148	385	390
149	387	387
150	390	384
151	392	382
152	394	379
153	397	376
154	399	374
155	402	371
156	405	368
157	408	366
158	410	364
159	413	361
160	415	358
161	417	356
162	421	354
163	425	352
164	427	349
165	430	347
166	432	344
167	435	341
168	437	339
169	440	336
170	442	333
171	445	331
172	447	328
173	450	325
174	452	323
175	455	320
176	457	318
177	460	315
178	462	312
179	465	310
180	467	307
181	470	304
182	472	302
183	474	299
184	477	296
185	479	294
186	482	291
187	484	288
188	487	286
189	489	283
190	492	280
191	494	278
192	497	275
193	499	272
194	502	270
195	504	267
196	507	265
197	509	262
198	512	259
199	514	257
200	516	254
201	519	251
202	521	249
203	524	246
204	526	244
205	529	241
206	531	238
207	534	236
208	536	233
209	538	230
210	541	228
211	543	225
212	546	223
213	548	220
214	551	217
215	553	215
216	556	212
217	558	210
218	561	207
219	563	205
220	566	202
221	568	199
222	571	197
223	573	194
224	576	192
225	578	189
226	581	186
227	583	184
228	586	181
229	588	179
230	590	176
231	593	173
232	595	171
233	598	168
234	600	166
235	603	163
236	605	161
237	608	158
238	610	155
239	613	153
240	615	150
241	618	148
242	620	145
243	623	142
244	625	140
245	627	137
246	630	135
247	632	132
248	635	130
249	637	127
250	640	125
251	642	122
252	645	119
253	647	117
254	650	114
255	652	112
256	655	109
257	658	107
258	661	104
259	663	102
260	666	99
261	668	96
262	671	94
263	673	91
264	675	89
265	678	86
266	680	84
267	683	81
268	685	79
269	688	76
270	690	73
271	693	71
272	695	68
273	698	66
274	700	63
275	703	61
276	705	58
277	708	56
278	710	53
279	713	50
280	715	48
281	717	45
282	720	43
283	722	40
284	725	38
285	727	35
286	730	33
287	732	30
288	735	27
289	737	25
290	739	22
291	742	20
292	744	17
293	747	15
294	749	12
295	752	10
296	754	7
297	756	5
298	759	2
299	761	0
