Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Term_2,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_business loan,Purpose_debt consolidation,Purpose_other,Purpose_take a trip,Term_Long Term,Term_Short Term,Credit_burden
Own Home,-1.1089533005807186,1.0756473140670004,-0.11095342154390785,-0.026674289431710546,1.133644851182116,-0.01617418596667873,1.6647792271904904,0.962929059764033,2.545731972691612,debt consolidation,Short Term,0.002829760687826769,-0.762772031096034,-0.8720845805099383,1.1449212756428209,0,0.5915167019106974,-0.9734197922398,3.2545295982244045,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,-1.0591649246464108
Own Home,-0.4304977919591535,1.0756473140670004,-0.11095342154390785,0.7882225363842952,-0.42852756229605427,0.014762813377688299,-0.3409788778582933,-0.11068941920151688,-0.3370990397177327,debt consolidation,Long Term,-0.25743630229652625,0.33078087736190526,0.004909107517618331,0.6545197207185951,1,-1.6905693394114378,-0.9734197922398,3.2545295982244045,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,1,0,-0.47936558101337984
Home Mortgage,-0.7726908238425828,0.5262683869327771,-0.11095342154390785,-0.026674289431710546,2.369181214569396,0.014806744328609964,-0.3409788778582933,-0.5706270588064934,-0.3370990397177327,debt consolidation,Short Term,0.002829760687826769,0.0583789639562625,-0.3910335442527347,0.8588537019370225,0,0.5915167019106974,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,-0.781009917585032
Own Home,-0.7056992729213485,-0.023110540201446223,-0.11095342154390785,-0.6378469087937149,0.5939852901623843,-0.04978136342175328,1.6647792271904904,0.47069242861376265,2.545731972691612,debt consolidation,Short Term,-1.0951656867778519,-0.6102819540502155,-0.5849800401326217,-1.1027525177598803,0,0.5915167019106974,-0.9734197922398,3.2545295982244045,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,-0.6680557950752632
Rent,-0.7416621593224078,0.5262683869327771,-0.11095342154390785,0.3807741234762923,-0.669954208015408,-0.0349024994814715,1.6647792271904904,0.25170526593667397,-0.3370990397177327,debt consolidation,Short Term,-1.069235356458326,-0.618292016897781,-0.9336309393408233,-0.08108261166774339,0,0.5915167019106974,-0.9734197922398,-0.30726406683951407,1.1579395364342013,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,-0.6387919475837872
Rent,-0.05642755172536038,0.25157892336566545,-0.11095342154390785,0.1770499170222909,-0.5279385340628471,-0.03609138084078909,-0.3409788778582933,-0.12360901581963439,-0.3370990397177327,other,Long Term,0.16463758924110766,-0.39060299162631,0.03165745692777137,-0.6479050755676611,1,-1.6905693394114378,-0.9734197922398,-0.30726406683951407,1.1579395364342013,-0.13229141128968838,-1.9544951813401197,2.096588527402888,-0.07041158834130604,1,0,-0.06899099730592158
Home Mortgage,0.17581844387506276,1.0756473140670004,-0.11095342154390785,-0.4341227023397134,0.2815508074667503,-0.034759723890976084,-0.3409788778582933,2.438346993553031,-0.3370990397177327,other,Short Term,0.002829760687826769,-0.7494418518795629,-1.3413965292517143,0.981454090668079,0,0.5915167019106974,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,-1.9544951813401197,2.096588527402888,-0.07041158834130604,0,1,0.46172406940079275
Rent,-0.41230284877339335,1.0756473140670004,-0.11095342154390785,0.3807741234762923,-0.8971792863395054,-0.038363434708769004,-0.3409788778582933,-1.1145420764292329,-0.3370990397177327,other,Short Term,-0.3395918042989854,-0.631801525879496,0.12129377517057259,-0.65321775907934,1,0.5915167019106974,-0.9734197922398,-0.30726406683951407,1.1579395364342013,-0.13229141128968838,-1.9544951813401197,2.096588527402888,-0.07041158834130604,0,1,-0.48225561488047364
Home Mortgage,-0.7670629642319052,-0.2978000037685579,-0.11095342154390785,1.1956709492922981,-0.3717212927150301,-0.058979406270977114,1.6647792271904904,0.2588110440766389,2.545731972691612,other,Short Term,-1.0465142254357707,-0.9117950660138017,-1.5342529670051688,-0.054519194109348766,0,0.5915167019106974,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,-1.9544951813401197,2.096588527402888,-0.07041158834130604,0,1,-0.5477599598387737
Home Mortgage,0.26054021968087204,-1.3965578580370046,-0.11095342154390785,-0.23039849588571198,0.8922182054627624,-0.027073180321900824,-0.3409788778582933,-1.8897178735162723,-0.3370990397177327,debt consolidation,Long Term,1.5392018321197525,-0.2658492516048976,-0.05881736756613184,-0.504053952789889,1,-1.6905693394114378,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,1,0,0.30120411013024995
Home Mortgage,-0.2915486804602218,-1.6712473216041164,-0.11095342154390785,-0.8415711152477163,-0.9681871233157859,-0.04298442160884176,-0.3409788778582933,1.051428296598136,-0.3370990397177327,debt consolidation,Short Term,-0.5148140859136053,-0.321979468126271,-0.3121301060240388,0.09137526848061042,0,0.5915167019106974,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,-0.26200747968434634
Home Mortgage,0.5721693053453114,-0.5724894673356696,-0.11095342154390785,0.1770499170222909,-0.10189151220516404,-0.006619204141216362,-0.3409788778582933,0.1238012594173127,-0.3370990397177327,debt consolidation,Short Term,0.7702776805654863,0.3557674913192366,-0.2336459209208938,0.6545197207185951,0,0.5915167019106974,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,0.6822157555066795
Home Mortgage,-0.5454319506749397,1.0756473140670004,-0.11095342154390785,-0.6378469087937149,-0.6131479384343835,-0.031297415821462275,-0.3409788778582933,0.31307334987273144,-0.3370990397177327,debt consolidation,Short Term,0.16733331665056334,0.0801376421392017,0.09488082826086035,-0.6123509628356546,0,0.5915167019106974,1.0273060071020748,-0.30726406683951407,-0.8636029503573512,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,0,1,-0.6249508636384542
Rent,0.8690766181392803,1.0756473140670004,-0.11095342154390785,-0.026674289431710546,-0.08768994480990826,0.044234990077261026,-0.3409788778582933,-0.38264692801288636,-0.3370990397177327,debt consolidation,Long Term,1.404415461646968,2.3509306828356156,0.2980508929028691,0.2867185545254259,1,-1.6905693394114378,-0.9734197922398,-0.30726406683951407,1.1579395364342013,-0.13229141128968838,0.5116410669860745,-0.47696531147136084,-0.07041158834130604,1,0,0.9065811691963043
Own Home,1.1093352681854065,0.25157892336566545,-0.11095342154390785,-0.026674289431710546,-0.08768994480990826,0.04102253929111419,-0.3409788778582933,-0.05125927475817709,-0.3370990397177327,other,Short Term,-0.7225134644135723,3.4119651271959754,3.3571732487982078,1.1040544793991354,0,0.5915167019106974,-0.9734197922398,3.2545295982244045,-0.8636029503573512,-0.13229141128968838,-1.9544951813401197,2.096588527402888,-0.07041158834130604,0,1,0.5661537713251439
