iter	Passed	Remaining
0	26	52214
1	53	53299
2	78	52265
3	98	49026
4	127	50791
5	147	49017
6	174	49819
7	195	48566
8	222	49203
9	258	51343
10	282	51035
11	306	50816
12	335	51230
13	363	51608
14	397	52619
15	459	57039
16	488	56974
17	507	55852
18	536	55949
19	590	58433
20	612	57675
21	665	59827
22	690	59387
23	721	59403
24	754	59624
25	777	59008
26	798	58318
27	820	57759
28	843	57317
29	863	56724
30	886	56298
31	920	56598
32	943	56262
33	969	56039
34	1007	56587
35	1030	56225
36	1056	56070
37	1085	56038
38	1119	56290
39	1141	55919
40	1165	55698
41	1197	55826
42	1229	55950
43	1257	55894
44	1280	55645
45	1305	55439
46	1338	55607
47	1363	55446
48	1402	55829
49	1431	55841
50	1463	55941
51	1491	55861
52	1510	55502
53	1538	55457
54	1569	55505
55	1600	55565
56	1621	55262
57	1640	54912
58	1679	55256
59	1711	55347
60	1731	55032
61	1758	54964
62	1788	54996
63	1806	54656
64	1826	54369
65	1853	54302
66	1883	54353
67	1914	54381
68	1947	54491
69	1964	54167
70	1993	54150
71	2025	54225
72	2043	53948
73	2062	53692
74	2086	53550
75	2119	53645
76	2136	53365
77	2193	54040
78	2213	53816
79	2250	54021
80	2268	53754
81	2290	53573
82	2307	53300
83	2325	53048
84	2353	53030
85	2374	52851
86	2408	52962
87	2431	52835
88	2462	52866
89	2494	52933
90	2510	52674
91	2528	52437
92	2557	52435
93	2577	52259
94	2606	52273
95	2637	52316
96	2661	52219
97	2683	52091
98	2729	52416
99	2750	52264
100	2778	52247
101	2808	52264
102	2826	52063
103	2854	52032
104	2887	52109
105	2918	52143
106	2947	52154
107	2965	51953
108	2984	51777
109	3003	51608
110	3022	51432
111	3056	51516
112	3114	52007
113	3135	51875
114	3157	51760
115	3187	51769
116	3220	51838
117	3255	51922
118	3281	51875
119	3313	51908
120	3344	51936
121	3374	51941
122	3405	51973
123	3439	52029
124	3459	51892
125	3484	51828
126	3507	51722
127	3533	51675
128	3557	51591
129	3577	51465
130	3600	51372
131	3628	51348
132	3660	51377
133	3682	51282
134	3706	51205
135	3730	51126
136	3753	51038
137	3775	50945
138	3800	50880
139	3828	50864
140	3866	50975
141	3940	51559
142	3962	51457
143	3987	51391
144	4036	51639
145	4057	51530
146	4081	51449
147	4122	51592
148	4144	51481
149	4196	51754
150	4217	51642
151	4238	51533
152	4267	51513
153	4284	51364
154	4302	51216
155	4330	51187
156	4364	51231
157	4395	51248
158	4414	51113
159	4443	51103
160	4462	50972
161	4491	50955
162	4509	50818
163	4537	50803
164	4558	50700
165	4579	50600
166	4605	50544
167	4631	50505
168	4683	50739
169	4716	50768
170	4747	50780
171	4780	50807
172	4805	50752
173	4837	50761
174	4856	50642
175	4885	50627
176	4905	50519
177	4930	50469
178	4964	50507
179	4983	50390
180	5011	50359
181	5061	50554
182	5081	50458
183	5098	50316
184	5119	50227
185	5150	50226
186	5167	50103
187	5198	50106
188	5252	50325
189	5273	50237
190	5303	50230
191	5328	50174
192	5370	50277
193	5395	50223
194	5419	50166
195	5463	50290
196	5495	50295
197	5525	50287
198	5542	50164
199	5572	50149
200	5603	50152
201	5633	50145
202	5685	50326
203	5707	50251
204	5747	50322
205	5794	50463
206	5853	50703
207	5875	50619
208	5912	50668
209	5948	50699
210	5996	50842
211	6026	50828
212	6091	51106
213	6123	51106
214	6151	51070
215	6170	50963
216	6228	51178
217	6248	51074
218	6279	51067
219	6328	51203
220	6359	51196
221	6392	51200
222	6425	51205
223	6453	51169
224	6475	51086
225	6499	51021
226	6530	51003
227	6548	50890
228	6566	50781
229	6585	50682
230	6623	50725
231	6655	50716
232	6686	50704
233	6720	50717
234	6750	50701
235	6769	50597
236	6788	50496
237	6806	50388
238	6823	50280
239	6844	50192
240	6863	50098
241	6891	50061
242	6940	50180
243	6976	50206
244	7020	50290
245	7078	50471
