APPLICATION_NUMBER,TARGET
123724268,0.038010936
123456549,0.16115025
123428178,0.19053286
123619984,0.07782826
123671104,0.034089558
123632747,0.02197741
123728867,0.047879636
123459592,0.09083312
123595888,0.019100357
123480224,0.058192518
123471321,0.080647744
123725319,0.04725379
123500343,0.03967765
123654690,0.07402533
123434840,0.050926425
123519890,0.089000545
123464497,0.07616902
123689418,0.033954725
123699541,0.054473676
123667053,0.1296652
123493724,0.101098716
123540873,0.014470935
123683158,0.07055431
123675730,0.040131465
123569456,0.08219731
123590315,0.102374315
123608042,0.19927648
123637247,0.032726746
123696300,0.0265942
123645299,0.038118828
123478448,0.028315617
123552626,0.07810642
123660023,0.071895875
123458715,0.049280558
123673488,0.022949522
123445200,0.0076274015
123728923,0.06457116
123609395,0.06707647
123598270,0.097654186
123625898,0.02720055
123473077,0.067941025
123545605,0.031193411
123447425,0.08340316
123433257,0.026419992
123468285,0.08428346
123699079,0.11653595
123720024,0.08080939
123488000,0.35255498
123468623,0.047138024
123673653,0.019527823
123438396,0.033163622
123478434,0.056181796
123573573,0.0486231
123663154,0.080738425
123534174,0.08701553
123448203,0.07886358
123491207,0.02837393
123486104,0.035491295
123672936,0.07011301
123440414,0.057912998
123708919,0.017201286
123436816,0.023526458
123565375,0.03885789
123717492,0.032025713
123496348,0.075113684
123543275,0.08670529
123651430,0.083937965
123594082,0.16717982
123506762,0.051326085
123697915,0.07319964
123675858,0.07148861
123652118,0.077767245
123560179,0.047078423
123570441,0.09327164
123574171,0.04871502
123658397,0.036876578
123557517,0.031006575
123459087,0.08175159
123616578,0.013597855
123707428,0.06518106
123455128,0.15396804
123576408,0.07841329
123478469,0.03673577
123511244,0.104880914
123613368,0.25100487
123508859,0.021238321
123447568,0.03694771
123561385,0.03568481
123462302,0.05187374
123583551,0.039739586
123680994,0.2821992
123460039,0.058407333
123595981,0.08544459
123511880,0.057239644
123658934,0.09742251
123674856,0.0754949
123629953,0.08632566
123674296,0.016432732
123680752,0.047720235
