APPLICATION_NUMBER,TARGET
123724268,0
123456549,0
123428178,0
123619984,0
123671104,0
123632747,0
123728867,0
123459592,0
123595888,0
123480224,0
123471321,0
123725319,0
123500343,0
123654690,0
123434840,0
123519890,0
123464497,0
123689418,0
123699541,0
123667053,0
123493724,0
123540873,0
123683158,0
123675730,0
123569456,0
123590315,0
123608042,0
123637247,0
123696300,0
123645299,0
123478448,0
123552626,0
123660023,0
123458715,0
123673488,0
123445200,0
123728923,0
123609395,0
123598270,0
123625898,0
123473077,0
123545605,0
123447425,0
123433257,0
123468285,0
123699079,0
123720024,0
123488000,0
123468623,0
123673653,0
123438396,0
123478434,0
123573573,0
123663154,0
123534174,0
123448203,0
123491207,0
123486104,0
123672936,0
123440414,0
123708919,0
123436816,0
123565375,0
123717492,0
123496348,0
123543275,0
123651430,0
123594082,0
123506762,0
123697915,0
123675858,0
123652118,0
123560179,0
123570441,0
123574171,0
123658397,0
123557517,0
123459087,0
123616578,0
123707428,0
123455128,0
123576408,0
123478469,0
123511244,0
123613368,0
123508859,0
123447568,0
123561385,0
123462302,0
123583551,0
123680994,0
123460039,0
123595981,0
123511880,0
123658934,0
123674856,0
123629953,0
123674296,0
123680752,0
123493031,0
123426225,0
123696163,0
123609069,0
123608197,0
123682131,0
123548371,0
123666065,0
123691224,0
123610127,0
123609811,0
123603556,0
123576819,0
123666101,0
123599019,0
123714219,0
123450631,0
123591297,0
123640295,0
123435383,0
123648025,0
123607172,0
123576615,0
123689086,0
123431889,0
123433520,0
123552179,0
123572473,0
123521600,0
123571125,0
123532513,0
123599387,0
123617258,0
123492753,0
123570720,0
123571431,0
123507927,0
123591436,0
123626222,0
123638226,0
123655607,0
123500036,0
123430009,0
123695265,0
123537332,0
123665539,0
123501885,0
123686004,0
123724589,0
123692159,0
123671030,0
123484855,0
123442196,0
123641644,0
123628192,0
123441332,0
123709933,0
123525643,0
123655422,0
123676869,0
123576991,0
123691511,0
123590563,0
123606274,0
123685539,0
123712086,0
123439493,0
123725031,0
123438049,0
123499584,0
123694174,0
123573618,0
123496241,0
123452939,0
123618852,0
123492311,0
123493216,0
123534290,1
123490413,0
123674282,0
123555380,0
123456321,0
123536170,0
123652190,0
123552380,0
123495749,0
123665864,0
123597405,0
123496507,0
123482113,0
123462055,0
123682157,0
123703385,0
123432509,0
123630016,0
123506364,0
123680991,0
123496863,0
123714126,0
123588643,0
123577735,0
123499268,0
123713945,0
123430500,0
123504335,0
123576696,0
123703429,0
123698704,0
123665335,0
123569862,0
123485895,0
123679092,0
123656332,0
123705996,0
123701874,0
123653512,0
123536231,0
123479428,0
123630707,0
123619817,0
123681462,0
123611410,0
123564670,0
123459040,0
123726057,0
123624839,0
123575870,0
123561429,0
123519183,0
123519881,0
123727183,0
123622905,0
123609128,0
123683566,0
123606681,0
123652413,0
123708269,0
123711013,0
123556691,0
123721561,0
123702835,0
123483517,0
123725101,0
123658312,0
123703391,0
123498197,0
123449019,0
123653882,0
123586486,0
123610487,0
123679327,0
123673392,0
123661393,0
123457415,0
123659635,0
123634239,0
123430996,0
123671944,0
123598860,0
123614404,0
123552108,0
123575779,0
123606379,0
123676060,0
123548820,0
123485786,0
123503051,0
123664515,0
123598454,0
123559220,0
123525508,0
123461947,0
123628510,0
123444892,0
123598346,0
123602122,0
123548716,0
123637505,0
123612575,0
123462279,0
123592793,0
123582892,0
123611064,0
123614860,0
123596548,0
123643469,0
123494414,0
123483589,0
123556084,0
123721051,0
123450541,0
123437585,0
123481754,0
123649740,0
123527684,0
123429040,0
123449777,0
123495100,0
123557624,0
123481937,0
123718429,0
123663519,0
123540365,0
123444261,0
123622149,0
123650637,0
123534000,0
123600570,0
123646237,0
123454388,0
123454153,0
123644089,0
123555068,0
123698426,0
123433404,0
123546695,0
123505780,0
123685819,0
123608882,0
123696828,0
123678755,0
123545322,0
123541941,0
123451395,0
123439808,0
123571852,0
123691980,0
123550091,0
123442292,0
123709056,0
123641420,0
123682623,0
123495589,0
123463445,0
123684118,0
123489465,0
123604190,0
123607874,0
123679172,0
123646934,0
123606470,0
123729142,0
123483737,0
123654607,0
123485407,0
123440884,0
123555440,0
123646150,0
123633529,0
123572586,0
123529503,0
123650583,0
123677020,0
123516094,0
123696710,0
123531119,0
123660355,0
123657909,0
123606420,0
123513779,0
123449847,0
123713224,0
123579200,0
123565369,0
123476809,0
123636722,0
123581037,0
123541854,0
123636367,0
123725987,0
123717848,0
123544418,0
123543619,0
123602606,0
123455879,0
123601295,0
123538958,0
123462587,0
123677363,0
123644689,0
123577809,0
123462593,0
123639102,0
123611080,0
123669243,0
123450935,0
123678610,0
123673769,0
123615898,0
123579560,0
123659815,0
123543624,0
123699678,0
123431269,0
123707544,0
123681853,0
123429058,0
123588610,0
123590900,0
123507575,0
123698605,0
123564683,0
123540755,0
123642649,0
123533582,0
123549528,0
123661951,0
123660285,0
123656929,0
123503600,0
123707699,0
123661001,0
123608825,0
123693693,1
123486091,0
123703910,0
123425443,0
123484321,0
123559404,0
123504246,0
123477217,0
123689685,0
123523123,0
123459313,0
123520611,0
123427062,0
123559891,0
123613692,0
123656988,0
123703706,0
123551214,0
123615994,0
123688273,0
123666976,0
123513114,0
123604250,0
123654082,0
123636224,0
123549108,0
123672991,0
123687822,0
123464046,0
123695595,0
123671167,0
123603658,0
123513251,0
123710906,0
123675318,0
123463870,0
123607824,0
123472971,0
123690383,0
123636762,0
123524861,0
123490002,0
123587773,0
123466912,0
123708859,0
123518418,0
123719527,0
123642704,0
123555993,0
123590906,0
123484942,0
123628018,0
123462260,0
123484840,0
123563842,0
123433369,0
123726753,0
123516134,0
123686218,0
123553259,0
123497350,0
123584871,0
123712125,0
123484061,0
123625893,0
123646920,0
123451446,0
123442361,0
123641678,0
123633617,0
123680919,0
123497969,0
123483126,0
123495547,0
123688483,0
123502232,0
123689548,0
123502280,0
123487175,0
123547383,0
123506275,0
123717674,0
123583718,0
123686611,0
123643251,0
123595365,0
123683581,0
123479608,0
123455648,0
123715984,0
123466804,0
123677928,0
123437685,0
123545142,0
123683585,0
123589632,0
123675679,0
123718435,0
123585349,0
123541700,0
123455139,0
123708637,0
123474266,0
123541029,0
123568092,0
123508233,0
123504509,0
123447772,0
123698273,0
123611178,0
123504186,0
123672763,0
123455628,0
123641502,0
123643766,0
123472157,0
123552163,0
123489059,0
123681260,0
123726514,0
123561588,0
123549881,0
123591467,0
123500488,0
123648638,0
123674636,0
123662102,0
123575264,0
123529009,0
123608559,0
123485249,0
123681243,0
123446133,0
123660290,0
123555612,0
123628689,0
123701642,0
123449748,0
123698107,0
123428876,0
123512528,0
123426953,0
123622629,0
123606664,0
123704197,0
123728712,0
123432742,0
123522497,0
123572320,0
123723551,0
123697955,0
123672276,0
123549105,0
123603391,0
123638144,0
123700677,0
123514036,0
123646327,0
123503794,0
123662732,0
123598450,0
123660430,0
123472390,0
123580504,0
123456003,0
123560738,0
123502102,0
123511260,0
123682993,0
123675526,0
123536093,0
123708572,0
123474070,0
123446701,0
123600179,0
123503541,0
123659318,0
123487844,0
123520561,0
123710379,0
123531572,0
123721710,0
123474989,0
123562118,0
123614083,0
123469707,0
123697586,0
123701436,0
123429123,0
123506473,0
123497814,0
123641541,0
123662084,0
123687027,0
123597400,0
123479695,0
123724131,0
123728483,0
123651501,0
123560993,0
123460330,0
123500844,0
123481830,0
123688931,0
123458045,0
123548288,0
123712411,0
123534032,0
123590530,0
123539826,0
123462257,0
123516883,0
123462841,0
123682283,0
123605712,0
123712724,0
123611258,0
123713754,0
123656940,0
123460399,0
123548908,0
123607111,0
123648829,0
123489790,0
123516591,0
123715652,0
123667136,0
123426441,0
123567100,0
123636640,0
123683319,0
123480631,0
123452366,0
123593673,0
123484710,0
123447029,0
123512390,0
123655783,0
123503839,0
123524459,0
123692537,0
123674493,0
123626995,0
123646065,0
123588860,0
123490970,0
123460998,0
123592408,0
123668387,0
123458611,0
123683945,0
123431278,0
123624516,0
123725812,0
123484993,0
123617117,0
123700209,0
123640339,0
123623221,0
123474436,0
123424224,0
123603341,0
123427002,0
123511220,0
123495861,0
123472896,0
123683272,0
123446981,0
123445284,0
123723277,0
123513384,0
123497583,0
123593403,0
123711622,0
123557983,0
123560199,0
123497169,0
123706240,0
123441885,0
123577895,0
123434208,0
123667148,0
123677646,0
123615438,0
123465339,0
123723129,0
123711723,0
123549425,0
123632916,0
123489359,0
123471284,0
123490149,0
123513904,0
123661331,0
123651707,0
123431964,0
123561580,0
123423914,0
123525517,0
123694116,0
123545478,0
123460486,0
123617285,0
123683345,0
123563520,0
123545623,0
123659708,0
123487408,0
123430381,0
123686050,0
123466023,0
123496372,0
123710487,0
123523278,0
123563801,0
123594630,0
123591505,0
123627606,0
123562845,0
123500129,0
123525504,0
123545896,0
123598432,0
123694370,0
123470914,0
123725230,0
123638132,0
123501810,0
123687802,0
123520410,0
123625340,0
123563024,0
123430624,0
123723356,0
123653832,0
123483475,0
123481395,0
123520795,0
123615551,0
123661703,0
123705089,0
123506782,0
123513967,0
123711665,0
123644552,0
123574590,0
123645220,0
123677049,0
123622217,0
123655170,0
123696520,0
123523436,0
123468901,0
123553957,0
123606581,0
123662951,0
123593521,0
123702554,0
123634317,0
123431145,0
123500453,0
123685563,0
123615634,0
123502153,0
123664077,0
123708177,0
123682256,0
123588341,0
123511184,0
123429269,0
123498521,0
123537586,0
123681117,0
123596493,0
123658300,0
123709501,0
123496273,0
123723019,0
123482318,0
123526259,0
123705779,0
123667833,0
123603271,0
123458013,0
123632008,0
123497510,0
123464710,0
123450887,0
123640299,0
123506424,0
123692166,0
123722872,0
123469741,0
123721822,0
123479322,0
123560630,0
123690135,0
123637633,0
123710903,0
123628953,0
123717785,0
123712076,0
123440716,0
123498192,0
123647650,0
123719236,0
123610273,0
123551965,0
123445344,0
123608326,0
123646851,0
123592537,0
123588283,0
123662168,0
123535110,0
123702226,0
123624818,0
123559225,0
123692570,0
123684868,0
123672752,0
123656030,0
123665331,0
123485254,0
123563802,0
123681456,0
123448002,0
123427456,0
123591217,0
123613415,0
123553837,0
123681130,0
123719358,0
123622820,0
123543843,0
123485796,0
123682895,0
123446003,0
123466339,0
123653342,0
123432760,0
123717479,0
123538412,0
123690927,0
123528739,0
123625962,0
123645363,0
123508617,0
123455450,0
123539196,0
123728144,0
123622702,0
123640741,0
123680812,0
123702168,0
123687171,0
123611957,0
123483404,0
123625287,0
123462798,0
123505170,0
123484538,0
123685886,0
123531897,0
123559443,0
123673349,0
123624051,0
123681003,0
123513409,0
123701394,0
123480096,0
123705345,0
123712856,0
123648649,0
123666212,0
123571097,0
123435811,0
123478450,0
123667608,0
123721307,0
123587981,0
123613525,0
123707621,0
123667583,0
123498755,0
123620409,0
123570958,0
123429920,0
123532534,0
123443310,0
123672562,0
123633744,0
123500529,0
123523887,0
123484387,0
123604630,0
123565692,0
123540898,0
123645888,0
123519541,0
123564581,0
123503368,0
123596015,0
123445358,0
123610988,0
123711095,0
123437761,0
123430796,0
123538507,0
123719796,0
123586990,0
123503459,0
123524785,0
123535311,0
123441137,0
123457332,0
123469710,0
123622591,0
123543042,0
123684355,0
123467301,0
123573461,0
123569617,0
123559306,0
123613245,0
123622845,0
123503443,0
123566575,0
123684269,0
123673910,0
123515000,0
123721433,0
123464374,0
123484635,0
123518190,0
123494279,0
123432539,0
123606566,0
123569415,0
123525573,0
123626449,0
123484944,0
123658126,0
123682788,0
123488689,0
123599820,0
123503635,0
123653316,0
123729002,0
123636260,0
123556742,0
123609994,0
123504935,0
123568556,0
123461557,0
123718353,0
123477634,0
123488922,0
123511328,0
123451298,0
123647843,0
123723230,0
123469512,0
123712495,0
123567727,0
123531976,0
123689093,0
123652390,0
123438214,0
123427015,0
123620700,0
123460980,0
123510475,0
123583795,0
123611575,0
123635551,0
123471116,0
123473869,0
123600664,0
123443238,0
123448663,0
123612156,0
123564264,0
123700636,0
123500755,0
123539851,0
123709208,0
123634565,0
123704199,0
123677517,0
123641308,0
123575475,0
123477344,0
123639162,0
123464061,0
123718022,0
123580721,0
123730553,0
123702949,0
123582560,0
123681224,0
123536012,0
123553977,0
123509498,0
123575303,0
123663659,0
123642468,0
123551379,0
123690274,0
123582933,0
123704434,0
123543153,0
123611592,0
123471822,0
123521368,0
123567205,0
123553343,0
123665258,0
123536194,0
123550743,0
123426016,0
123463965,0
123679861,0
123485456,0
123527072,0
123563372,0
123698307,0
123425312,0
123443252,0
123424754,0
123622070,0
123589723,0
123690404,0
123538450,0
123571351,0
123646602,0
123678235,0
123610129,0
123696830,0
123560045,0
123677875,0
123552394,0
123575490,0
123498168,0
123526069,0
123441936,0
123543604,0
123713377,0
123612016,0
123458250,0
123555717,0
123507063,0
123696736,0
123671624,0
123472799,0
123434930,0
123537945,0
123651729,0
123661825,0
123716415,0
123548301,0
123703133,0
123645430,0
123551462,0
123635652,0
123674535,0
123541903,0
123584524,0
123717038,0
123496222,0
123601177,0
123726084,0
123510439,0
123679886,0
123663564,0
123569677,0
123493134,0
123561599,0
123447534,0
123571650,0
123638402,0
123663134,0
123458923,0
123595360,0
123441018,0
123478328,0
123634304,0
123452887,0
123568020,0
123579837,0
123496691,0
123681725,0
123437468,0
123547768,0
123684987,0
123436520,0
123594456,0
123724413,0
123619548,0
123693063,0
123587438,0
123424744,0
123446829,0
123605167,0
123670729,0
123720007,0
123452160,0
123524213,0
123503897,0
123727947,0
123641100,0
123599939,0
123542826,0
123551425,0
123433780,0
123482710,0
123515655,0
123445733,0
123449709,0
123520353,0
123498086,0
123455891,0
123481995,0
123537350,0
123697606,0
123671367,0
123617348,0
123617098,0
123488818,0
123462169,0
123629612,0
123524642,0
123467152,0
123581387,0
123599167,0
123646472,0
123575630,0
123650661,0
123557073,0
123721093,0
123621593,0
123592738,0
123722042,0
123500072,0
123663330,0
123519511,0
123448037,0
123513616,0
123603051,0
123533015,0
123464390,0
123682858,0
123622200,0
123585250,0
123680236,0
123672432,0
123605691,0
123724856,0
123612763,0
123594350,0
123715455,0
123604536,0
123531918,0
123505482,0
123686854,0
123643369,0
123485069,0
123641907,0
123629633,0
123691622,0
123435104,0
123598286,0
123552575,0
123515065,0
123713098,0
123686226,0
123494091,0
123580865,0
123499257,0
123592715,0
123722021,0
123517539,0
123659626,0
123542181,0
123669622,0
123693278,0
123619825,0
123431188,0
123640966,0
123713721,0
123450286,0
123632957,0
123544800,0
123681029,0
123492598,0
123559161,0
123586562,0
123501044,0
123711790,0
123542242,0
123686806,0
123682609,0
123474533,0
123499844,0
123617630,0
123435099,0
123654049,0
123467373,0
123634739,0
123677929,0
123639692,0
123714860,0
123568321,0
123616345,0
123655803,0
123719420,0
123517286,0
123460457,0
123704907,0
123564284,0
123650072,0
123439708,0
123644487,0
123653776,0
123607738,0
123470707,0
123498200,0
123559397,0
123618608,0
123599222,0
123608428,0
123459389,0
123685381,0
123640229,0
123514370,0
123558009,0
123522229,0
123610401,0
123728199,0
123424359,0
123512557,0
123437309,0
123545832,0
123645646,0
123546541,0
123608863,0
123466055,0
123575367,0
123543811,0
123578740,0
123462525,0
123461898,0
123684371,0
123714115,0
123648785,0
123544067,0
123566288,0
123682716,0
123550072,0
123617427,0
123680499,0
123661679,0
123552622,0
123526415,0
123576504,0
123558594,0
123700563,0
123675195,0
123518967,0
123454967,0
123536863,0
123443999,0
123437704,0
123519371,0
123656876,0
123706479,0
123665108,0
123722914,0
123636109,0
123516475,0
123719752,0
123456353,0
123681949,0
123503768,0
123706299,0
123709020,0
123478420,0
123588875,0
123594248,0
123435070,0
123577164,0
123424782,0
123692754,0
123675802,0
123571799,0
123453102,0
123660072,0
123626069,0
123561277,0
123563105,0
123555692,0
123573924,0
123467677,0
123535866,0
123497837,0
123707466,0
123504910,0
123727170,0
123532950,0
123663176,0
123502023,0
123438915,0
123572066,0
123506840,0
123450176,0
123708351,0
123645674,0
123563552,0
123519213,0
123642710,0
123716296,0
123450384,0
123706294,0
123504896,0
123481356,0
123584186,0
123577770,0
123447903,0
123583501,0
123628567,0
123487921,0
123473001,0
123494046,0
123648468,0
123447339,0
123713816,0
123718977,0
123427535,0
123689824,0
123599898,0
123504156,0
123529847,0
123505067,0
123668253,0
123554210,0
123629703,0
123571990,0
123641368,0
123562416,0
123543756,0
123614679,0
123626203,0
123585438,0
123569915,0
123517587,0
123461923,0
123614190,0
123452958,0
123607658,0
123497029,0
123490253,0
123435466,0
123588725,0
123720237,0
123658526,0
123644403,0
123567443,0
123571867,0
123634861,0
123570330,0
123681918,0
123633620,0
123465694,0
123643215,0
123533333,0
123586487,0
123450561,0
123503780,0
123609923,0
123623516,0
123595209,0
123628764,0
123652222,0
123659291,0
123573838,0
123495147,0
123555215,0
123525587,0
123444524,0
123628231,0
123690678,0
123428356,0
123429903,0
123424440,0
123487712,0
123528385,0
123660676,0
123477122,0
123714818,0
123716280,0
123647498,0
123607544,0
123522523,0
123480262,0
123470633,0
123496426,0
123544559,0
123652660,0
123584986,0
123628460,0
123662499,0
123723662,0
123514382,0
123690960,0
123510229,0
123494564,0
123660796,0
123610749,0
123477382,0
123481176,0
123618097,0
123629105,0
123608214,0
123637705,0
123491955,0
123722721,0
123453918,0
123725772,0
123466623,0
123554539,0
123460209,0
123671528,0
123567589,0
123463406,0
123566345,0
123475323,0
123580209,0
123590022,0
123640599,0
123501281,0
123718588,0
123629808,0
123569024,0
123624490,0
123604316,0
123619186,0
123628910,0
123646714,0
123466528,0
123611503,0
123611185,0
123424587,0
123434140,0
123626130,0
123677968,0
123678131,0
123614696,0
123493392,0
123528646,0
123505306,0
123603909,0
123691714,0
123550975,0
123681909,0
123624500,0
123426439,0
123617073,0
123499714,0
123630468,0
123427461,0
123512271,0
123699391,0
123475084,0
123586280,0
123467121,0
123725312,0
123666352,0
123563048,0
123593569,0
123635177,0
123530740,0
123516982,0
123585510,0
123548701,0
123564520,0
123468093,0
123454845,0
123470973,0
123698027,0
123542073,0
123569820,0
123548003,0
123725809,0
123465668,0
123653556,0
123533381,0
123524464,0
123566185,0
123580535,0
123595926,0
123715153,0
123554909,0
123697983,0
123585437,0
123663880,0
123424990,0
123725958,0
123607577,0
123591055,0
123638235,0
123647947,0
123620667,0
123726141,0
123586856,0
123648100,0
123542342,0
123634205,0
123677043,0
123634440,0
123625102,0
123649435,0
123432625,0
123509905,0
123488880,0
123553834,0
123599315,0
123668179,0
123609358,0
123728707,0
123730362,0
123640878,0
123486937,0
123686951,0
123573442,0
123436242,0
123531182,0
123511302,0
123658785,0
123519302,0
123457412,0
123525740,0
123459191,0
123708952,0
123540642,0
123461118,0
123631584,0
123590636,0
123611633,0
123493689,0
123634819,0
123714911,0
123541448,0
123721833,0
123571049,0
123636268,0
123597978,0
123456233,0
123578842,0
123720029,0
123429103,0
123555320,0
123624523,0
123546498,0
123622519,0
123430483,0
123469501,0
123504688,0
123660256,0
123634083,0
123625506,0
123568968,0
123663643,0
123545534,0
123468284,0
123486054,0
123721758,0
123714230,0
123434591,0
123623469,0
123628383,0
123696519,0
123527876,0
123479883,0
123520190,0
123616258,0
123706133,0
123542817,0
123552003,0
123619448,0
123498645,0
123681153,0
123440444,0
123703363,0
123449187,0
123694358,0
123597058,0
123438864,0
123516002,0
123571044,0
123438399,0
123502665,0
123602979,0
123623879,0
123697613,0
123693413,0
123715385,0
123632054,0
123719957,0
123437964,0
123655486,0
123634776,0
123548462,0
123449059,0
123586244,0
123602854,0
123638376,0
123585504,0
123431486,0
123727905,0
123509476,0
123552055,0
123434137,0
123702653,0
123493234,0
123614200,0
123648380,0
123459615,0
123487014,0
123481749,0
123450290,0
123435109,0
123611706,0
123615232,0
123430012,0
123518604,0
123549839,0
123703612,0
123671554,0
123672051,0
123597134,0
123667707,0
123540032,0
123555192,0
123608193,0
123487836,0
123495285,0
123490987,0
123729836,0
123491125,0
123532998,0
123643726,0
123517975,0
123684144,0
123552521,0
123551673,0
123509149,0
123608119,0
123564411,0
123520406,0
123442248,0
123699185,0
123590089,0
123565557,0
123590797,0
123567714,0
123717561,0
123563360,0
123645301,0
123723976,0
123501874,0
123652967,0
123680931,0
123452083,0
123538088,0
123667981,0
123641530,0
123484662,0
123452709,0
123691472,0
123428659,0
123438653,0
123675533,0
123627934,0
123455281,0
123654274,0
123607741,0
123619732,0
123587391,0
123729788,0
123549305,0
123614252,0
123585035,0
123530784,0
123679170,0
123588116,0
123469068,0
123687306,0
123557467,0
123579939,0
123559718,0
123555554,0
123488027,0
123695428,0
123589610,0
123723951,0
123649814,0
123683633,0
123717378,0
123483415,0
123558615,0
123676828,0
123697661,0
123619207,0
123460603,0
123595234,0
123721518,0
123515586,0
123424700,0
123543660,0
123701625,0
123705977,0
123587975,0
123565802,0
123603436,0
123603000,0
123576586,0
123613994,0
123571813,0
123507161,0
123588937,0
123470295,0
123577676,0
123546568,0
123606644,0
123602645,0
123598502,0
123477007,0
123551247,0
123645422,0
123729433,0
123684064,0
123446522,0
123448150,0
123721746,0
123485657,0
123601335,0
123575988,0
123575387,0
123611978,0
123638599,0
123545060,0
123520535,0
123671481,0
123454709,0
123646658,0
123447538,0
123459547,0
123615978,0
123524872,0
123468729,0
123443767,0
123490345,0
123693951,0
123633600,0
123481210,0
123530797,0
123645538,0
123710208,0
123494478,0
123644674,0
123715774,0
123530950,1
123443379,0
123572798,0
123451810,0
123466703,0
