APPLICATION_NUMBER,TARGET
123724268,0.057306167
123456549,0.24230218
123428178,0.1718333
123619984,0.08633265
123671104,0.03078419
123632747,0.037696537
123728867,0.05901818
123459592,0.09198002
123595888,0.012613554
123480224,0.026953092
123471321,0.08774857
123725319,0.061777256
123500343,0.044174805
123654690,0.09337739
123434840,0.031024031
123519890,0.08633265
123464497,0.09731492
123689418,0.021846991
123699541,0.047550544
123667053,0.12735896
123493724,0.08774857
123540873,0.009697631
123683158,0.08633265
123675730,0.033894267
123569456,0.11097804
123590315,0.058363095
123608042,0.19995497
123637247,0.031727068
123696300,0.034830343
123645299,0.29434732
123478448,0.020242842
123552626,0.09507238
123660023,0.119284295
123458715,0.059103087
123673488,0.025902167
123445200,0.009557485
123728923,0.08633265
123609395,0.029052498
123598270,0.10787072
123625898,0.031525
123473077,0.07156484
123545605,0.02401326
123447425,0.08774857
123433257,0.027747208
123468285,0.08774857
123699079,0.30917877
123720024,0.10752188
123488000,0.30631894
123468623,0.048126362
123673653,0.023310024
123438396,0.029440261
123478434,0.14599438
123573573,0.06928137
123663154,0.08633265
123534174,0.08633265
123448203,0.08774857
123491207,0.04199832
123486104,0.045581173
123672936,0.052229404
123440414,0.089300565
123708919,0.030719696
123436816,0.024368225
123565375,0.035153586
123717492,0.028650388
123496348,0.08774857
123543275,0.08633265
123651430,0.08633265
123594082,0.16543327
123506762,0.06026855
123697915,0.071454436
123675858,0.07386484
123652118,0.08633265
123560179,0.04039946
123570441,0.08633265
123574171,0.084126934
123658397,0.03509509
123557517,0.037417516
123459087,0.08774857
123616578,0.033481076
123707428,0.0749387
123455128,0.23304512
123576408,0.08633265
123478469,0.019342229
123511244,0.102909476
123613368,0.27908888
123508859,0.009278861
123447568,0.05604518
123561385,0.04719013
123462302,0.083564535
123583551,0.062156048
123680994,0.24674258
123460039,0.051168755
123595981,0.08633265
123511880,0.10406683
123658934,0.13392821
123674856,0.10166906
123629953,0.08633265
123674296,0.02849383
123680752,0.063386925
123493031,0.021676872
123426225,0.08774857
123696163,0.08633265
123609069,0.15024516
