APPLICATION_NUMBER,TARGET
123724268,0.043929063
123456549,0.18468301
123428178,0.16800015
123619984,0.034545403
123671104,0.0491595
123632747,0.021981802
123728867,0.027696524
123459592,0.08604306
123595888,0.011162557
123480224,0.035064474
123471321,0.032048225
123725319,0.03131493
123500343,0.03248403
123654690,0.06409067
123434840,0.015777161
123519890,0.035738792
123464497,0.060553946
123689418,0.025270864
123699541,0.02565532
123667053,0.095950015
123493724,0.030744828
123540873,0.0074785315
123683158,0.03344544
123675730,0.020341184
123569456,0.11543242
123590315,0.03764901
123608042,0.18103501
123637247,0.02239372
123696300,0.033323053
123645299,0.38678175
123478448,0.01779392
123552626,0.06335116
123660023,0.067108534
123458715,0.045634452
123673488,0.020299733
123445200,0.024332391
123728923,0.03344544
123609395,0.049982462
123598270,0.046486378
123625898,0.03334032
123473077,0.06501839
123545605,0.027368054
123447425,0.032048225
123433257,0.016040538
123468285,0.032048225
123699079,0.068274885
123720024,0.050424594
123488000,0.21304207
123468623,0.03937225
123673653,0.00962604
123438396,0.05948394
123478434,0.09282577
123573573,0.117183134
123663154,0.034545403
123534174,0.03502676
123448203,0.032048225
123491207,0.01703713
123486104,0.026173137
123672936,0.029762484
123440414,0.10599182
123708919,0.06846781
123436816,0.051961757
123565375,0.031085158
123717492,0.03859244
123496348,0.030744828
123543275,0.03502676
123651430,0.034545403
123594082,0.18233523
123506762,0.030288126
123697915,0.06431817
123675858,0.08757332
123652118,0.034545403
123560179,0.03403853
123570441,0.03502676
123574171,0.051883336
123658397,0.023257725
123557517,0.026338588
123459087,0.032048225
123616578,0.034568693
123707428,0.059003327
123455128,0.07600163
123576408,0.03502676
123478469,0.016379908
123511244,0.052286524
123613368,0.13631444
123508859,0.012651392
123447568,0.03781228
123561385,0.04113245
123462302,0.0686616
123583551,0.029014189
123680994,0.17445746
123460039,0.025323184
123595981,0.03502676
123511880,0.07720139
123658934,0.17822947
123674856,0.061945178
123629953,0.034545403
123674296,0.016030448
123680752,0.020602936
123493031,0.019678585
123426225,0.045487553
123696163,0.03344544
123609069,0.09345247
123608197,0.016162576
123682131,0.03290694
123548371,0.026634403
123666065,0.02074957
123691224,0.040553622
123610127,0.026111554
123609811,0.01842913
123603556,0.15415098
123576819,0.06341217
123666101,0.055111755
123599019,0.024173768
123714219,0.05582515
123450631,0.039812583
123591297,0.077955544
123640295,0.041381106
123435383,0.07768519
123648025,0.019106098
123607172,0.03935245
123576615,0.09646355
123689086,0.004486429
123431889,0.013645164
123433520,0.04258051
123552179,0.017256407
123572473,0.024476955
123521600,0.054916266
123571125,0.024075076
123532513,0.023120292
123599387,0.03502676
123617258,0.08016076
123492753,0.40744144
123570720,0.02862269
123571431,0.03702644
123507927,0.18638796
123591436,0.11891742
123626222,0.36408797
123638226,0.015876899
123655607,0.03065241
123500036,0.047152437
123430009,0.028090704
123695265,0.2668414
123537332,0.08122318
123665539,0.09398955
123501885,0.041513816
123686004,0.045409366
123724589,0.03344544
123692159,0.06893031
123671030,0.027696524
123484855,0.060529653
123442196,0.0173047
123641644,0.043499023
123628192,0.032794733
123441332,0.03724449
123709933,0.027696524
123525643,0.03502676
123655422,0.015547435
