iter	Logloss
0	0.6822375601
1	0.671601413
2	0.661174418
3	0.6514054412
4	0.6413646767
5	0.6321686201
6	0.622637929
7	0.6133278508
8	0.6043913948
9	0.5956489412
10	0.5869164714
11	0.578949098
12	0.5711192949
13	0.5632501759
14	0.555527687
15	0.5482264517
16	0.5409745331
17	0.5340345036
18	0.5273210459
19	0.5205165445
20	0.5140983674
21	0.5078742418
22	0.5019734858
23	0.4958564859
24	0.4898419045
25	0.4841539603
26	0.478543131
27	0.4732539505
28	0.4679827985
29	0.4626321726
30	0.4576227809
31	0.4528979829
32	0.4482857053
33	0.4437037509
34	0.4390182096
35	0.4346947274
36	0.4305060517
37	0.4263654437
38	0.4225825382
39	0.4186971924
40	0.4150657136
41	0.4114388063
42	0.4076465985
43	0.4041694851
44	0.400863401
45	0.3974417616
46	0.3941265262
47	0.3910854506
48	0.3879488421
49	0.3850293785
50	0.3819721673
51	0.3790815372
52	0.3761025683
53	0.3733639698
54	0.3705708009
55	0.3680157425
56	0.3654350304
57	0.3629266195
58	0.3604893531
59	0.3580028373
60	0.3556751805
61	0.3535401044
62	0.3513945531
63	0.3492100914
64	0.3470008964
65	0.3449189315
66	0.3428882539
67	0.3410181467
68	0.3390697771
69	0.3371985425
70	0.3355440363
71	0.3339413715
72	0.3321329038
73	0.3303424439
74	0.3287286069
75	0.3271057422
76	0.3255137525
77	0.3239259496
78	0.3224759526
79	0.3209830038
80	0.3197175705
81	0.3183052876
82	0.3170098895
83	0.3156808332
84	0.3144776396
85	0.3132742638
86	0.3121266178
87	0.3109664495
88	0.3099325736
89	0.3088457208
90	0.3077040278
91	0.3065221767
92	0.3054179922
93	0.3044607747
94	0.3033986335
95	0.3024677252
96	0.3015986678
97	0.3006257622
98	0.2997093601
99	0.2988518018
100	0.297955421
101	0.2971021555
102	0.2963071407
103	0.2953922837
104	0.2946240762
105	0.2938495676
106	0.2930927624
107	0.2923726854
108	0.2915572693
109	0.2908424241
110	0.290085068
111	0.2894524134
112	0.2888108217
113	0.2882451078
114	0.2875678017
115	0.2869313677
116	0.2863405081
117	0.2857318509
118	0.2850738259
119	0.2845121778
120	0.2839219328
121	0.2833542136
122	0.282795636
123	0.2822442984
124	0.2816974431
125	0.2812296125
126	0.280750889
127	0.2802272466
128	0.2797299767
129	0.2793098633
130	0.2788921807
131	0.2784468459
132	0.2780253111
133	0.2776461163
134	0.2772217535
135	0.2768115989
136	0.2763967244
137	0.2759456643
138	0.2755983858
139	0.2752177893
140	0.2748588981
141	0.274517981
142	0.2741571206
143	0.2738235635
144	0.2734757025
145	0.273133619
146	0.2727974973
147	0.2724985948
148	0.2721734638
149	0.2718626127
150	0.2715598501
151	0.2712523543
152	0.2709593859
153	0.2706506837
154	0.270351
155	0.270057325
156	0.2697706751
157	0.269484079
158	0.2692253625
159	0.2689604104
160	0.2687141374
161	0.268445595
162	0.2681887895
163	0.267942442
164	0.2676827467
165	0.2674782048
166	0.267232002
167	0.267041093
168	0.2668435994
169	0.2666603153
170	0.2664137854
171	0.2662409985
172	0.2660503253
173	0.2658459994
174	0.2656466699
175	0.2654447461
176	0.2652496991
177	0.2650824959
178	0.264897482
179	0.2647325314
180	0.2645667279
181	0.2643801671
182	0.2642254224
183	0.2640831638
184	0.2639234805
185	0.2637550948
186	0.2635929735
187	0.263429424
188	0.2633119674
189	0.2631681883
190	0.2630064741
191	0.2628703747
192	0.2627154257
193	0.2625787517
194	0.2624481104
195	0.2623104939
196	0.2621616972
197	0.2620203739
198	0.261881718
199	0.261749618
200	0.2616201141
201	0.2615062824
202	0.2613804395
203	0.261263535
204	0.2611581395
205	0.2610333257
206	0.2609073861
207	0.2608051247
208	0.2606779251
209	0.2605832433
