iter	Passed	Remaining
0	25	50545
1	45	45723
2	66	44335
3	85	42896
4	107	42945
5	130	43253
6	153	43591
7	175	43694
8	195	43321
9	216	43063
10	238	43100
11	260	43201
12	283	43404
13	305	43395
14	326	43254
15	347	43070
16	368	42996
17	390	42992
18	412	43039
19	435	43105
20	457	43070
21	480	43178
22	502	43171
23	524	43194
24	547	43269
25	570	43311
26	593	43343
27	617	43461
28	640	43540
29	666	43780
30	691	43913
31	718	44158
32	746	44495
33	775	44847
34	803	45118
35	832	45410
36	868	46062
37	894	46166
38	918	46200
39	946	46381
40	970	46376
41	998	46530
42	1029	46853
43	1058	47067
44	1086	47219
45	1114	47344
46	1148	47742
47	1175	47823
48	1204	47943
49	1227	47874
50	1255	47978
51	1284	48119
52	1311	48196
53	1340	48310
54	1368	48384
55	1395	48453
56	1426	48610
57	1456	48752
58	1484	48827
59	1513	48920
60	1536	48846
61	1563	48859
62	1585	48736
63	1609	48684
64	1633	48640
65	1656	48530
66	1679	48464
67	1702	48377
68	1726	48325
69	1750	48252
70	1774	48223
71	1797	48134
72	1819	48030
73	1842	47951
74	1865	47892
75	1887	47794
76	1911	47745
77	1934	47666
78	1957	47590
79	1980	47537
80	2004	47498
81	2028	47450
82	2051	47391
83	2075	47351
84	2098	47271
85	2120	47198
86	2143	47138
87	2166	47076
88	2188	46997
89	2210	46906
90	2233	46864
91	2258	46840
92	2282	46799
93	2303	46706
94	2327	46667
95	2350	46619
96	2373	46555
97	2394	46476
98	2418	46437
99	2442	46402
100	2468	46410
101	2491	46366
102	2515	46336
103	2540	46308
104	2561	46221
105	2584	46175
106	2607	46134
107	2630	46082
108	2654	46053
109	2677	46001
110	2702	45993
111	2725	45946
112	2749	45910
113	2771	45851
114	2793	45797
115	2817	45754
116	2839	45705
117	2862	45656
118	2884	45595
119	2906	45538
120	2929	45494
121	2954	45473
122	2977	45439
123	2999	45384
124	3023	45349
125	3047	45318
126	3070	45286
127	3094	45254
128	3116	45208
129	3137	45132
130	3159	45077
131	3182	45038
132	3205	44993
133	3226	44934
134	3250	44900
135	3273	44872
136	3298	44853
137	3321	44819
138	3343	44763
139	3366	44722
140	3390	44704
141	3415	44694
142	3441	44688
143	3463	44643
144	3487	44618
145	3511	44594
146	3534	44553
147	3557	44511
148	3579	44464
149	3602	44427
150	3626	44406
151	3649	44367
152	3672	44330
153	3695	44293
154	3718	44256
155	3742	44242
156	3767	44226
157	3792	44212
158	3818	44211
159	3843	44198
160	3868	44187
161	3893	44170
162	3919	44177
163	3944	44155
164	3971	44168
165	3993	44121
166	4016	44085
167	4038	44040
168	4060	43990
169	4082	43950
170	4106	43923
171	4127	43869
172	4149	43822
173	4173	43802
174	4199	43793
175	4224	43779
176	4250	43774
177	4274	43753
178	4298	43734
179	4324	43728
180	4351	43726
181	4378	43732
182	4407	43758
183	4434	43767
184	4459	43751
185	4485	43744
186	4511	43735
187	4536	43728
188	4561	43704
189	4587	43704
190	4611	43680
191	4635	43649
192	4659	43629
193	4685	43621
194	4710	43605
195	4735	43583
196	4758	43554
197	4782	43521
198	4804	43479
199	4830	43471
200	4854	43444
201	4875	43396
